Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 47.74     10.78    10.78                             _mcount_private
 20.95     15.51     4.73                             __fentry__
 11.74     18.16     2.65 3750275010     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
 11.51     20.76     2.60 2500050000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long long) const
  8.02     22.57     1.81        1     1.81     7.06  two_sum_naive(std::vector<int, std::allocator<int> > const&, int)
  0.04     22.58     0.01        1     0.01     0.01  void std::__fill_a1<int*, int>(int*, int*, int const&)
  0.00     22.58     0.00   261555     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long long, unsigned long long) const
  0.00     22.58     0.00   261542     0.00     0.00  std::hash<int>::operator()(int) const
  0.00     22.58     0.00   261542     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00     22.58     0.00   211542     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, int>, false>::_M_next() const
  0.00     22.58     0.00   190446     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_ptr() const
  0.00     22.58     0.00   190446     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_addr() const
  0.00     22.58     0.00   190446     0.00     0.00  std::__detail::_Select1st::__1st_type<std::pair<int const, int> const&>::type&& std::__detail::_Select1st::operator()<std::pair<int const, int> const&>(std::pair<int const, int> const&) const
  0.00     22.58     0.00   161542     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<int const, int>, false> const&, unsigned long long) const
  0.00     22.58     0.00   150026     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >::_M_node_allocator()
  0.00     22.58     0.00   150000     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_ptr()
  0.00     22.58     0.00   150000     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_addr()
  0.00     22.58     0.00   150000     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, int>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, int>, false>*)
  0.00     22.58     0.00   150000     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, int>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, int>, false>*)
